,A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges
0,Background Audio,Intentional Audio,-1.511,-0.378,-1.133,0.249,-4.547,0.001,-0.95
1,Background Audio,Location,-1.511,-0.4,-1.111,0.249,-4.457,0.001,-0.932
2,Background Audio,"My Face
 (for Improving the App)",-1.511,-0.267,-1.244,0.249,-4.992,0.001,-1.043
3,Background Audio,"My Face
 (for core functionality)",-1.511,0.356,-1.867,0.249,-7.489,0.001,-1.565
4,Background Audio,"My Face
 in the Background of Someone Else",-1.511,-1.022,-0.489,0.249,-1.961,0.5,-0.41
5,Background Audio,"Near-Nudity
 (Accidental)",-1.511,-1.689,0.178,0.249,0.713,0.9,0.149
6,Background Audio,"Near-Nudity
 (Intentional)",-1.511,-0.844,-0.667,0.249,-2.674,0.322,-0.559
7,Background Audio,"Object 
 (License)",-1.511,-1.6,0.089,0.249,0.357,0.9,0.075
8,Background Audio,"Object 
 (Meds)",-1.511,-1.267,-0.244,0.249,-0.981,0.9,-0.205
9,Background Audio,"Object 
 (Mess)",-1.511,-0.533,-0.978,0.249,-3.923,0.669,-0.82
10,Background Audio,"Object 
 (Sexual)",-1.511,-1.711,0.2,0.249,0.802,0.9,0.168
11,Background Audio,"Other Faces
 in the Background",-1.511,-0.889,-0.622,0.249,-2.496,0.448,-0.522
12,Background Audio,Payment Information,-1.511,-0.689,-0.822,0.249,-3.299,0.669,-0.689
13,Background Audio,"Pupil Dialation
 (to assess excitement)",-1.511,-0.756,-0.756,0.249,-3.031,0.744,-0.634
14,Intentional Audio,Location,-0.378,-0.4,0.022,0.249,0.089,0.9,0.019
15,Intentional Audio,"My Face
 (for Improving the App)",-0.378,-0.267,-0.111,0.249,-0.446,0.9,-0.093
16,Intentional Audio,"My Face
 (for core functionality)",-0.378,0.356,-0.733,0.249,-2.942,0.574,-0.615
17,Intentional Audio,"My Face
 in the Background of Someone Else",-0.378,-1.022,0.644,0.249,2.585,0.384,0.54
18,Intentional Audio,"Near-Nudity
 (Accidental)",-0.378,-1.689,1.311,0.249,5.26,0.001,1.099
19,Intentional Audio,"Near-Nudity
 (Intentional)",-0.378,-0.844,0.467,0.249,1.872,0.5,0.391
20,Intentional Audio,"Object 
 (License)",-0.378,-1.6,1.222,0.249,4.903,0.001,1.025
21,Intentional Audio,"Object 
 (Meds)",-0.378,-1.267,0.889,0.249,3.566,0.669,0.745
22,Intentional Audio,"Object 
 (Mess)",-0.378,-0.533,0.156,0.249,0.624,0.9,0.13
23,Intentional Audio,"Object 
 (Sexual)",-0.378,-1.711,1.333,0.249,5.349,0.001,1.118
24,Intentional Audio,"Other Faces
 in the Background",-0.378,-0.889,0.511,0.249,2.05,0.5,0.429
25,Intentional Audio,Payment Information,-0.378,-0.689,0.311,0.249,1.248,0.9,0.261
26,Intentional Audio,"Pupil Dialation
 (to assess excitement)",-0.378,-0.756,0.378,0.249,1.516,0.9,0.317
27,Location,"My Face
 (for Improving the App)",-0.4,-0.267,-0.133,0.249,-0.535,0.9,-0.112
28,Location,"My Face
 (for core functionality)",-0.4,0.356,-0.756,0.249,-3.031,0.744,-0.634
29,Location,"My Face
 in the Background of Someone Else",-0.4,-1.022,0.622,0.249,2.496,0.448,0.522
30,Location,"Near-Nudity
 (Accidental)",-0.4,-1.689,1.289,0.249,5.171,0.001,1.081
