,Contrast,question,A,B,Paired,Parametric,T,dof,Tail,p-unc,BF10,hedges
0,question,-,"My Face
 (for core functionality)",Intentional Audio,False,True,3.03120571370057,268.0,two-sided,0.0026741854919984705,10.004,0.36791314629089084
1,question,-,"My Face
 (for core functionality)",Background Audio,False,True,11.567947069894954,268.0,two-sided,2.255655888743582e-25,1.277e+22,1.4040616852149292
2,question,-,"My Face
 (for core functionality)","Pupil Dialation
 (to assess excitement)",False,True,7.968057913594723,268.0,two-sided,4.6434354254644934e-14,1.273e+11,0.9671244823696752
3,question,-,"My Face
 (for core functionality)","Other Faces
 in the Background",False,True,6.508727296950689,268.0,two-sided,3.712398563468637e-10,2.312e+07,0.7899979626414371
4,question,-,"My Face
 (for core functionality)","My Face
 in the Background of Someone Else",False,True,8.255346555611505,268.0,two-sided,6.956377659269375e-15,7.944e+11,1.0019941936862964
5,question,-,"My Face
 (for core functionality)","My Face
 (for Improving the App)",False,True,3.9535741910470175,268.0,two-sided,9.857899291235182e-05,192.869,0.47986578843795946
6,question,-,"My Face
 (for core functionality)","Near-Nudity
 (Intentional)",False,True,8.147955265610898,268.0,two-sided,1.4208322887651622e-14,3.987e+11,0.9889595562778952
7,question,-,"My Face
 (for core functionality)","Near-Nudity
 (Accidental)",False,True,14.722715285113562,268.0,two-sided,2.3439511409928795e-36,7.791e+32,1.786972252661237
8,question,-,"My Face
 (for core functionality)","Object 
 (Meds)",False,True,11.721730782527708,268.0,two-sided,6.809608456530342e-26,4.123e+22,1.4227272113807323
9,question,-,"My Face
 (for core functionality)","Object 
 (Sexual)",False,True,15.448658602984883,268.0,two-sided,6.124379825909055e-39,2.731e+35,1.8750837552556363
10,question,-,"My Face
 (for core functionality)","Object 
 (Mess)",False,True,5.7178881895360485,268.0,two-sided,2.87260844542769e-08,3.743e+05,0.694009721756397
11,question,-,"My Face
 (for core functionality)","Object 
 (License)",False,True,14.747873927142148,268.0,two-sided,1.9081097345360798e-36,9.54e+32,1.7900258874255512
12,question,-,"My Face
 (for core functionality)",Location,False,True,5.06901052046182,268.0,two-sided,7.465041898305677e-07,1.756e+04,0.61525207633894
13,question,-,"My Face
 (for core functionality)",Payment Information,False,True,6.53703088622933,268.0,two-sided,3.154373339048485e-10,2.7e+07,0.7934333159517596
14,question,-,Intentional Audio,Background Audio,False,True,8.125972358777306,268.0,two-sided,1.6434062803460392e-14,3.465e+11,0.9862913769520215
15,question,-,Intentional Audio,"Pupil Dialation
 (to assess excitement)",False,True,4.703658271968062,268.0,two-sided,4.096502305359943e-06,3598.91,0.5709073805499865
16,question,-,Intentional Audio,"Other Faces
 in the Background",False,True,3.3964415824709366,268.0,two-sided,0.0007862282980962786,29.597,0.4122437164696941
17,question,-,Intentional Audio,"My Face
 in the Background of Someone Else",False,True,5.022852820498471,268.0,two-sided,9.306201225168349e-07,1.43e+04,0.6096496770882687
18,question,-,Intentional Audio,"My Face
 (for Improving the App)",False,True,0.7438708705061731,268.0,two-sided,0.4576062744755838,0.174,0.09028746256484022
19,question,-,Intentional Audio,"Near-Nudity
 (Intentional)",False,True,4.9408079090863,268.0,two-sided,1.3718295912116744e-06,9954.54,0.5996914610033702
20,question,-,Intentional Audio,"Near-Nudity
 (Accidental)",False,True,10.922334490929467,268.0,two-sided,3.2487957605368255e-23,9.905e+19,1.3257003407048635
21,question,-,Intentional Audio,"Object 
 (Meds)",False,True,8.185352771872449,268.0,two-sided,1.1086579424309218e-14,5.066e+11,0.9934986854204446
22,question,-,Intentional Audio,"Object 
 (Sexual)",False,True,11.53085470081466,268.0,two-sided,3.008887128927511e-25,9.63e+21,1.3995595921534014
23,question,-,Intentional Audio,"Object 
 (Mess)",False,True,2.4193771371077832,268.0,two-sided,0.01621317337936253,2.116,0.29365234122988354
24,question,-,Intentional Audio,"Object 
 (License)",False,True,10.926177843850478,268.0,two-sided,3.1550257291987474e-23,1.019e+20,1.3261668283665504
25,question,-,Intentional Audio,Location,False,True,1.8839637202266435,268.0,two-sided,0.06065232935239113,0.717,0.22866644011444537
26,question,-,Intentional Audio,Payment Information,False,True,3.4537464438328587,268.0,two-sided,0.0006424207573914748,35.457,0.41919910446798636
27,question,-,Background Audio,"Pupil Dialation
 (to assess excitement)",False,True,-3.464349272501761,268.0,two-sided,0.0006186714222421034,36.674,-0.42048602473127555
28,question,-,Background Audio,"Other Faces
 in the Background",False,True,-4.523429096203647,268.0,two-sided,9.148774547503884e-06,1710.089,-0.5490320314738102
29,question,-,Background Audio,"My Face
 in the Background of Someone Else",False,True,-3.0112993532215104,268.0,two-sided,0.0028496559197059303,9.461,-0.365497008157491
