,Contrast,question,A,B,Paired,Parametric,T,dof,Tail,p-unc,BF10,hedges
0,question,-,"Near-Nudity
 (Intentional)","Near-Nudity
 (Accidental)",True,True,4.803424752716322,44.0,two-sided,1.840334996444485e-05,1115.896,0.7170937545746775
1,context,-,"Social
 (SnapChat)","Commercial
 (Warby Parker)",True,True,-0.5400297638242478,44.0,two-sided,0.5918994669614741,0.185,-0.044588415671500806
2,context,-,"Social
 (SnapChat)","Medical
 (PostureScreen)",True,True,-0.42249140322758894,44.0,two-sided,0.6747239278162762,0.176,-0.04652326212321831
3,context,-,"Commercial
 (Warby Parker)","Medical
 (PostureScreen)",True,True,0.0,44.0,two-sided,1.0,0.162,0.0
4,question * context,"Near-Nudity
 (Intentional)","Social
 (SnapChat)","Commercial
 (Warby Parker)",True,True,-1.0,44.0,two-sided,0.3227784787543093,0.258,-0.08425251556505313
5,question * context,"Near-Nudity
 (Intentional)","Social
 (SnapChat)","Medical
 (PostureScreen)",True,True,-1.0691866662344074,44.0,two-sided,0.29081624084425634,0.276,-0.12060125485051178
6,question * context,"Near-Nudity
 (Intentional)","Commercial
 (Warby Parker)","Medical
 (PostureScreen)",True,True,-0.3054819046384022,44.0,two-sided,0.7614397232286043,0.169,-0.034645252841543954
7,question * context,"Near-Nudity
 (Accidental)","Social
 (SnapChat)","Commercial
 (Warby Parker)",True,True,0.29844400799971044,44.0,two-sided,0.7667692158824722,0.169,0.02357051964575804
8,question * context,"Near-Nudity
 (Accidental)","Social
 (SnapChat)","Medical
 (PostureScreen)",True,True,0.7710996009560598,44.0,two-sided,0.444769192731553,0.214,0.07506876544175708
9,question * context,"Near-Nudity
 (Accidental)","Commercial
 (Warby Parker)","Medical
 (PostureScreen)",True,True,1.0,44.0,two-sided,0.3227784787543093,0.258,0.05168824749437226
